Title	Description
영어가 좋아요 아니면 수학이 좋아요?	영어가 좋아요 아니면 수학이 좋아요?  두개중에 고르라면 수학이 나아요
수학의 정석 좋아요?	수학의 정석 좋아요?  개념공부 하기는 좋습니다.
구미동 성적안좋아 수학과외 영어과외 구해봅니다	"구미동입니다 성적 안좋아서 수,영 두과목 해보고싶은데 좋은 샘 만나려면 구미동영어과외 구미동수학과외 잘 구하는 방법좀 알려주세요! 구미동과외 정보 어디서 구해요? 안녕하세요? 구미동과외 문의주셔서 답변드릴게요! 학생과의... "
안녕하세요 수학좋아님	"안녕하세요 방금 만났던 사람인데요 수학을 좋아하신다고 하셔서 친추하고 질문드립니다 미적분 좋아하세요? 소개 보니 초등학생이셔서 깜짝 놀랐어요. 저는 수학 전공자입니다. ^^ 초, 중등 수학교육 관련 공부하고 있어요. 수학을... "
쎈수학이 좋아요 개념원리RPM이 좋아	문제유형을 빨리 정확히 이해하하려면 쎈수학이 좋아요 개념원리RPM이 좋아요? 개념원리 RPM을 하셔야죠 개념원리부터 알아야지 문제유형을 빨리 정확히 이해가 됩니다. 
수학이 싫은데 수학이 좋아요	교과과정에서 배우는 수학은 너무 싫고 힘든데 수학자들이 주장하는 수학은 좋아요. 교과과정 수학도 수학자들의 주장을 배우는 거긴한데.. 음 이게 무슨 말이냐면 시간내에 정해진 방식으로 문제를 푸는 것도 싫고 그냥 교과서에 함수란... 
수학이 좋아여 과학이 좋아여	수학이 좋아여? 과학이 좋아여? 과학은 수학과 관련되있지만 전 개인적으로 수학을 더 좋아합니다 수학은 과학의 여왕이라하거든요 ㅎㅎ 글고 수학은 계산같은 연산이 재밌고 과학은 나름대로의 개성을 살려서 하시면... 
기화펜 좋아요?? 수학 풀때 노트에	기화펜 좋아요?? 수학 풀때 노트에 풀고 문제집엔 답만 쓰고 채점만 하는데 여러번 풀려니까 지우는것도 까다롭고 수정테이프도 너무 많이들고 그래서 기화펜 써볼려고 하는데 기화펜 괜찮나요?? 생각보다 빨리사라져서... 
수학 잘하면 뭐가 좋아요??	"수학 잘하면 뭐가 좋아요?? 수학을 잘하면 과학에도 도움이 되고 학자가 되고싶으시면 수학자, 수학자 교수, 수학 선생님 이공계는 실생활에 쓰일려면 공과대학으로 진학하시면 많이 쓰입니다. 설계할 떄 수학을 쓰기도하고 통계로 낼 때... "
호매실 수학학원 어디가 좋아요?	... 큰애가 혼공만 하다가 고1첫중간고사후에 결과가 안좋아서 넋이 나가있었어요ㅜㅜ 엊그제는 처음으로 저한테 수학학원을 보내달라고하네요 학원은 알아본적도없고 계속 혼자 잘해왔었는데 고등학생들은 학원을 많이다니나요? 어디서... 
두정동 보습학원 찾아요~ 초중등 영어 수학 공부방 좋아... 	... 두정동수학공부방 추천해주셔도 됩니다 ~~~ 영수... 두정동수학학원 을 찾고 계신 것 같아서 답변드려요^^ 많은... 두정동영수학원 수업을 진행하기 때문에 더욱더 일대일로... 두정동국영수학원 에서는 자기주도적인 공부를 위한... 
파주 금촌 종합학원으로 영어 수학 어디가 좋아요?... 	... 금촌 영어 수학 공부방도 좋아요. 안녕하세요 지금 금촌에서 수학학원과 영어학원을찾아주시는것같아 제가 한말씀 드려보도록 하겠습니다 우선 공부를 하기 전 질문자님께서 말씀해주셨던것처럼 자존감 즉 자신감이 기본적으로... 
수학이 너무 좋아요	... 수학이 넘무 좋아요 ㅠㅠㅠㅠㅠㅠ 수학 문제를 푸는 그 과정 하나하나가 너무 즐겁고 새롭고 각 문제집들 모두 다른 유형의 문제들을 담고 있어서 너무 새롭고 신선하고 문제를 푼다는 행위 자체가 전 진짜 미친 것 처럼 좋아요... 
용인수지 수학학원 어디가 좋아요?	"아이가 고1인데 수학학원좀 옮기려구요 공부를 워낙 안하는애라 믿고 맡길만한... 용인 수지 소규모 정예, 영어학원 및 수학학원 (영수학원) 교육팀장입니다.... 수지수학학원 수지초등수학학원 수지중등수학학원 수지고등수학학원... "
수학 개념문제집 뭐가 좋아요?	"개념원리랑 수학의정석중에 뭐가 좋아요? 더 좋은거 있으면 추천해주세여  수학 개념서로는 개념원리, 라이트쎈 많이 사용합니다. 그리고 문제 풀이 용으로는 알피엠이랑 쎈, 자이스토리, 마플 많이들 사용하구요. 그 다음 일품이나... "
수학여행경주로가면좋아요?	"수학여행경주로가면좋아요?  네~ 좋습니다. 저도 학생 때 경주로 수학여행 많이 갔었습니다. 경주에서 가볼 만한 곳들도 알려드리겠습니다. 첨성대, 동궁과 월지, 대릉원, 보문관광단지... "
중3 중곡동 수학과외 좋아요??	중3 남중딩인데요 중곡동수학과외 괜찮아요??? 수학과외 하고싶은데 좋은가... 저 수학 잘해요 반에서 3등 안에 들어요 안녕하세요 믿음쌤전문과외 입니다... 중곡동수학과외 를 많이 알아보고 계십니다! 중곡동수학과외 를... 
수학학원 어디가 좋아요?	"수학학원 어디가좋아요? 고등부까지 관리 잘해주는 성적도책임져주는 학원추천해주세요  안녕하세요~^^ 수학학원을 생각하고 계시네요. 저는 고등부, 성적 관리를 원하신다면 학원보다는 1대1 맞춤 과외를 추천드립니다. 1대1맞춤과외는... "
수학50점	... 수학을 좋아 하고 또 잘하고 싶은데 이번에 점수가 중학교보다 반토막이 났습니다... 이걸 어떻게 받아드리고 또 어떤식으로 해야할지 또 수학에 소질이 없는건지 잘 모르겠습니다... 1. 개념이해가 완벽하지 않은데 문제풀이에... 
중계동 수학학원 어디가 좋아요?	중계동 수학학원 보내려는데요~ 안녕하세요 중계동 수학학원 문의드립니다..... 수학을 포기하지 않았으면 하는 마음에... 학원을 보냈는데 성적도 잘 안... 중계동수학학원 찾고 계신 것 같네요! 실제로 수학은 일찍 포기하면 돌이킬 수... 
수학쌤이 좋아요	중2인데 수학쌤이 너무 좋아요  수학선생님도 이 사실을 아시면 너무 좋아하시겠어요^^ 수학선생님과의 좋은 관계 유지하면서 공부도 열심히 하면 우리 친구에게 정말 많은 도움이 되겠는걸요? 열공하세요~~~^^
"저기,, 제가 수학을 좋아 하는데요, 수학을 이용하는... "	"음,, 그러니깐, 제가 통계쪽은 싫어 하고 방정식이나 함수 같은 그런 걸 좋아 하는데 수학으로 먹고 살수 있는 직업이 있나요?? 의사 되려고 하고 있는데 의사가 그렇게 적성에 맞는지도 잘 모르겟고요,, 좀 알려 주세요^^: 의학계에... "
수학인강 어떤 쌤이 좋아요?	수학인강 어떤 쌤이 좋아요? 수학인강 어떤 쌤이 좋아요? 이번에 고2 올라가는 학생이구요 인문계열입니다. 수학인강 어떤걸로 들어야 할지 제가 인강쪽으로는 잘 몰라서요 친구들은 많이 알고 있고 추천도 해줬는데 기억도 안 나고 귀에... 
이기적 유전자 책 수학에 관련되어있나요?	"어떤 수학이라도 좋아요ㅠㅠㅠ그나마 관련되어 보이는게 이것밖에 없어서요..당장 내일이 수행평가라서요ㅠㅠ  https://youtu.be/bGEpW0wJvyc 이기적 유전자는 생명공학, 유전자 등에 더 관련있습니다. '수학이 필요한 순간... "
수학 좋아 하시는 수학천재님들 이거좀 봐주세요.	우리나라에 수학천재네티즌 님들이 상당히 많더라구요 그래서 궁금한게 생겨서 질문합니다. 보통 30 곱하기... 이거 수학천재님들이 말로 좀 설명 해주실수 없을까 해서 이렇게 질문 올려요 답은 이렇게 나오는데 머리로... 
일본노래인데 대충 내용인 수학은좋아하	일본노래인데 대충 내용인 수학은좋아하는데 국어는 싫어합니다? 이런내용인데여 공부에관한 노래? 뭐랄까 공부땜에 차별되서 그거에대한 감정이 잘 들어난노래랄까? 우타이테나 하나땅같은 우울할때듣는 그런 랩종류랄까? 노래내용은... 
수학학원 좋아요?	"안녕하세요 초6 되는 여학생입니다 혹시 수학학원 다니시는 분들께 여쭙는건데,수학학원 좋아요? 혹시 괜찮으면 학교 후배,아니면 저 친구랑 같이 다니게요 저랑 같이 다니는 친구는 피아노학원 다니다 끊었어요 엄청 싫다고..학원... "
수학 내신 등급	... 3등급도 안되요 ㅜㅜㅜ 제가 근데 수학을 좋아하고 자신있어한단말예요 근데 너무 실수를 많이하고+이번 시험 공부법이 잘못됨을 깨달음 >그래서 기말에 잘본다면 치대약대 계열 노릴 자격되나요ㅠㅠ 제가 원래부터 약대가 꿈인데... 
수학이 너무 좋아요.	... 저도 중2 여학생이고 대치동 근방에 살고 있는데ㅋㅋ 저도 수학 엄청 좋아해요~~ 요즈음 수2 끝내면서 슬슬 수학을 싫어하게 될것 같기도 하고요ㅋㅋㅋㅋ 그래도 중학교 수학은 엄청 좋아해서 애들이 저보고 미쳤냐 그래요 ㅎㄹ...... 
[예비고1] 수학의정석//개념원리 어떤게 더 좋아요?	... 사는게 좋을것같에요 정석이 어렵긴해도 한번 이해만 잘하면 개념원리 그냥다 풀리거든요 그러니까 정석으로 개념을익히고 개념원리로 개념을다지는정도? 문제는 쎈수학이 좋아요 둘중에 하나만 해야된다면 정석을 추천하고싶어요
마곡엠밸리 영어학원 수학학원 공부방같은곳도 좋아요!	"... 마곡엠밸리영어학원 마곡엠밸리수학학원 찾고 있어요 실력이 좋은곳이... 학부모님 걱정이 많으실것 같아요 신방화 마곡엠밸리에서 영어학원 수학학원... 수학, 영어, 국어 포함 전과목 수업을 진행하고 있으며 전문적인 관리와... "
수학풀때 행복해요	"일반고 4등급인데요, 수학이 좋아요. 수학 성적이 뛰어난 것도 아닌데도 안 풀리면 스트레스 받기도 하는데요 모르겠어요 그냥 수학이 좋아요. 막 문제 풀어 제끼고 그런 것보다 틀린걸 고민하고 찾아가는 과정이 너무 좋고.. 개념 배우고... "
두산 중2수학책이좋아여 디딤돌중2 수학책이좋아여?	두산 중2수학책이좋아여 디딤돌중2 수학책이좋아여? 수학교과서는 디딤돌이 내용이 알차고 깔끔하고 체계적으로 잘 되어 있더군요. 교과서는 디딤돌교과서 강추!!! 참고서는 한권만 할거면 디딤돌 개념원리 두권 할거면 디딤돌 교과서... 
수학 좋아 하시는 분들..사선식에서는 왜 볼록다각형만... 	사선식을 배운지 오래 되었는데요. 오늘 행렬문제가 나와서 풀다가 사선식 다시 보니까 볼록다각형 밖에 안된다고 하더라고요. 그런데 정석 연습문제에 나오는 오목다각형을 공식에 넣어서 풀어 보니까 답에 똑같이 나와서 저는... 
수학 문제집을 다시 살려고 하는데요...	... 쎈은 문제만 있구요 디엠은 설명이죠 따라서 디엠이랑 쎈 찰떡궁합 ㅎㅎ 개념유형은 문제가 좀작네요 ㅎ .. 구지 하자면 디엠 과 쎈 수학을 같이 쓰셧으면 .. 쎈 수학 좋아요 ㅎㅎ 문제도 많구 유형도 여러가지구 . 
원주 초등수학 어디가 좋아요? 학원이나 수학과외 쌤... 	원주 무실동인데 초등수학 어디가 제일 좋을까요? 지금 다니던 학원이 있었는데 그만두고 2주정도 쉬고 있거든요.... ㅠㅠ 원주초등수학 잘 이끌어주시는 수학과외 쌤 아시는 분이나 진짜 괜찮은 수학학원 있으면 좀 알려주세요... 
"찾아요~ 저렴한 영어,수학 공부방 도 좋아요~ 알려주세요~~"	... 공덕역영어공부방 과 공덕역수학공부방 추천해주세요~~ 안녕하세요 마포 염리동 공덕역수학학원 을 찾고 계신 것... 공덕역영수학원 수업을 진행하기 때문에 더욱더... 공덕역국영수학원 에서는 자기주도적인 공부를 위한 분위기... 
부평구 산곡동 남남수 수학학원이 그렇게 좋아요?	"... 어떻점이 좋아요?? 남남수 수학학원이 수학성적 45점맞은 학생은 98점으로, 52점짜리를 100점으로, 80점대를 90점 후반으로 올렸다고 광고하고 다니는데.... 사실인가요???? ( 이건 구라인듯-_-;;) 학원 수업방식좀 자세히 설명해주세요!!!... "
수학이좋아요국어가좋아요	"수학국어는짜증난다  사람마다 다르겠지만, 수학에는 답이 정해져있고, 국어에는 답이 정해져있지 않으니까, 어떻게 보면 수학이고, 상상하기를 좋아하는 사람에게는 국어가 좋을수있죠."
자사고 수학만 1등급 받고 대학갈수있을까요..??	... 근데 제가 수학을 좋아하기도 하고 그나마 잘하는데 수학만 3년내내 1~2등급 받고 다른건 7~9등급 받고 좋은대학 갈수 있을까요? ㅠㅠㅠ 진짜 수학이 좋아요 저희학교가 1등급이 70점 대예요 걍 한우물만 팔까요? 다르거 하다가... 
수학공부전략이랑 학습지에 대해	... 그리고 해법수학 좋아요? 제가 굵게 한 질문에 답변을 해주셔서 불쌍한 고3에게 도움을 주세요ㅠ_ㅠ 흠... 진짜 안타까운 사실이네요.. 실수로 15~19점 나가다니.... 저도 그런적 많습니다.. 실수로 12점 까지 나간적 있습니다.. 그것도... 
대치동 수학학원 어디가 좋아요?	대치동 수학학원 찾고 있습니다. 10살 되는 딸아이 유학을 보낼 계획 중에... 그렇지만 아이의 수학이 걱정이 됩니다. 우리나라 학생들 수학실력이 상당히... 그리고 유학을 가게 되면 자연스럽게 수학을 멀리할 것 같아 아이가 수학에 대해... 
수학을 잘하는게 좋아여 영어를 잘하는	수학을 잘하는게 좋아여 영어를 잘하는게 좋아여? 둘 다 잘하는 게 베스트이긴 한데 굳이 하나 택하라면 영어 ㅎㅋㅎㅋ 
특강수학 !!!!!!!!!!!!!	"특강수학 좋아요 ? 제가 중학교 올라와서부터 공부를 안 했는데... 초등학교 때부터 수학을 무지 싫어했거든요, 그래서 중학교 때부터 연을 끊었는데... 중3되니까 참 막막하더군요. 배운 게 없어서... 정말 공부 좀 할 껄 이라는 생각 밖에... "
고1 수학[내공10]	... 수학 좋아 하게 되고 잘할수 있는 조금의 힌트와 방법이라도 좀 가르쳐주세요  안녕하세요 전 현 고2 이과 재학중인 학생입니다. 제 고1때 했던걸 토대로 말씀해드리겠습니다. 1. 정석 ★★★★★ 필수이죠..개념원리하신다는데... 
"수학이랑, 물리가 좋아요// 어느 학과를 가는게 좋을까요 ?"	"... 암튼, 좋아요 - 수학같은 경우는 1학년때까지는 모의고사도 2~3개 틀리고 , 잘 했었는데 , 2학년 들어서 공부를 안했더니 , 100점만점에 60~70점대로 떨어지더군요.. 좀 충격 받았죠;; 그래서 요즘은 공부 하고 있는데 , 역시 재밋더라구요... "
중1수학잘하는법	... 진 짜로 수학 좋아하고 잘하는 사람 아니면 풀기 힘들다고 생각해요.. 저도 수학 좋아 하지도 않고 별로 잘 하지도 않거덩요... 그래서 비 상에서 나온 문제집이 얇길래 그거 샀어요^^ 근데 비상것도 문제 꽤 많고 풀이 잘 되있고... 
수학 문제집 추천	"... 틀려서 중등수학 심화 문제집을 다시 풀어보려고 생각중입니다. 에이급 수학, 일품 수학, 블랙라벨 등 생각하고 있는데 어떤 게 좋을까요 고1 3월 모의고사 4점짜리 문제 정도 난이도의 책으로 추천해주세요.  에이급 수학 좋아요!!"
수학여행경주로가면좋아요?	수학여행경주로가면좋아요?  보통 학교에서 코스짜여져 있어요 괜찮은데로 갑니다 ^^
중등 수학인강은 어디가 좋아요?	보통 주위에 보니까 엠베스트랑 온리원 둘중에 많이들하던데 어디가 수학이 더 잘하나요? 국어나 영어는 어느정도... 강의질도 좋아서 좋더라구요 학원의 경우 여러 학생들을 한명한명 케어 해주지는 못하거든요 인터넷 강의에서... 
50일 수학 노베이스한테 쓰기 좋아요?	... 50일 수학 완전 노베이스에게 쓰기 좋아요?  네. 50일 수학이 고1을 위한 중등수학 총 정리죠. 완전 노베이스가 봐도 되는 강의입니다. 50일 수학도 어려우면 30일 수학이 초등수학 총정리니까 보셔도 좋구요. 그 다음 수상 수하는 ebs에... 
중등수학 잘가르치는 쌍문동 수학과외 어디가 좋아요?	수학공부 어려워하는 아이 때문에 걱정입니다... 중2 1학기... 쌍문동중등수학과외 잘가르치는 곳 있을까요? 형이... 이 근처 쌍문동수학과외 중등 전문 쌤 알고 계시면 추천... 영어 수학 진행 지금도 하고 있는 학군이기 때문에... 
고2 수학 문제집 뭐가 좋아요?	고1때 수학 내신 3~4등급 정도 나왔는데 방학동안 한석원쌤 생각의 질서 수1... 문제기본서 쎈 고등수학 1을 추천합니다. 3000만명이 선택한 베스트셀러 쎈은... 또한 문제를 난이도별로 구분하여 체계적으로 수학 실력을 키울 수... 
수학문제집뭐가 좋아요 ? (추천)	... 근데 수학 문제집 뭐가 좋아요..? 완자나 우공비 뭐이런거 있잖아요 .. 수학 잘 못하는애들한테 좋은 문제집 좀 추천해 주세요 .! 못하시면 일단 기본을 먼저 하셔야겠네요 중3이라면 아직 늦지 않았습니다 하지만 2학기부분은... 
침산동 수학학원 영어학원 찾아요. 침산 싸용예가 2차... 	... 영어수학 같이하는 곳도 괜찮고 따로 전문학원도 좋아요. 침산동 학원 추천해주세요. 침산동 수학학원 영어학원 찾아요. 침산 싸용예가 2차 인근이면 더 좋아요 안녕하세요. 침산쌍용예가 2차 근처에 수학하원 영어학원 찾고 있어요.... 
많아요ㅠㅠ 문과보다는 과학과 수학이 좋아 이과를 선	제가 이제 #고2 에 올라가는데 직업선택에 있어서 고민이 많아요ㅠㅠ 문과보다는 과학과 수학이 좋아 이과를 선택했는데 제가 호텔리어 승무원 이런일을 하고 싶은데 이과에서도 이런쪽으로 갈수있을까요? 선택을 잘못한걸 까요.. 그리고... 
고2 정시 수학 강의추천	"고2 정시파이터 입니다 형편이 안 좋아 수학학원을 끊게되어 이제부턴 혼자 수학공부를 하려고 하는데요, 아무래도 개념이 점점 어려워질테니 강의가 필요할 것 같아서요 목표는 수능수학 1등급 맞는건데… 학원에서 알려주던 꿀팁?... "
바라보는데 김포 영어과외 수학과외 어디가 좋아요?	"... 맞는 수학진도로 복습해주고 선행나가주는 수학과외 원해요 김포수학과외 찾는 김에 이번에 김포영어과외 까지... 기본적으로 아이에게 맞는 맞춤형 과외교육에 대해 생각하시고 있으시네요!^^ 먼저, 김포수학과외 김포영어과외는... "
후곡학원가 중에 수학학원 어디가 좋아요? 잘 가르치는... 	후곡학원가 수학학원을 알아보고 있는데 친구들한테 물어보니까 프라임원을 제일 많이 다니더라고요. 차량운행도... 수학 성적이 안올라요. ㅠㅠ  안녕하세요 푸린쌤 입니다 :) 오늘 학원을 추천해드리려고 하는데요. 저희 학원은... 
메가스터디 수학 쌤 누가 좋아여	... 대충 현우진 쌤이나 강혜영 쌤 생각하구 있어요 이 쌤들 말고 다른 선생님들 있으면 추천해주세요ㅛ ㅠㅠ 메가스터디 수학 쌤 누가 좋아여 고2 강의 끊으려고 하는데 누가 잘 가르치시나요?? 대충 현우진 쌤이나 강혜영 쌤 생각하구... 
수학잘하는법ㅋ	"... 솔직 히 수학 좋아 하는 사람이 그리 많은 편은 아닙니다. ㅎ 어째든 님 이 중 3 이라고 하시는 더욱 잘 적어 드려야 겠네요 중3 시기 를 노 치면 안되요 . 노치면 끝남 고등학교가서 절대 못따라감 중 1 ,2 학년에 잘 안들었다고요... "
수학 좋아하시는 분들 ㅠㅠ 질문 있습니다.	"... 수학 좋아하시는 분들 수학 좋아 할 방법 없나요? 지금 이 글을 보시는 ........... 수학을 좋아하시는 분들 게임보다 수학이 좋나요? 수학 정말 좋아할 수 있는 방법 없을까요?  흠, 저로서는 좀 드릴 말씀이 없어요-_-;;; 저 초6인데요. 그냥... "
중3수학문제집 추천좀 해주세요	... 완자수학 괜찮냐고 물어보셨죠 완자수학 좋아요! 완자껀 설명 정말 자세하고 꼼꼼히 잘되어있어서 독학하는데는 정말 최고죠. 하지만 가격이 너무쎄죠.. 가격좀 내렸으면하는.. 그리고 정말 좋은 교재이긴한데 웬지모르게 전... 
중3수학 도와주면 좋아요!!	누구보다 빠르게 채택  ............
신사고 TheM이 좋아요? 수학의 바이블이 좋아요?... 	"... 수학문제집 신사고 TheM이 좋아요? 수학의 바이블이 좋아요? 아님 다른것을 추천해주셔두 되구요^^:; 지금 정석, 개념원리 거의다 끝내가는데요... ㅠ 정석은 정말 보면 펴자마자 휴~ 라는 생각이 듭니다.ㅎ 고등학교 책은 다 이런가... "
내공의힘-수학 좋나요?	... 내공의 힘 수학 좋아요. ㅎ. 위에서 얘기하다 딴얘기로 갔네요. 수학 제가 썼었는데 내공의힘문제에서 학교시험문제와 똑같은거 봤습니다. 심본거죠 . ㅋ 학교시험봤을때 내공의힘 문제랑 같은 문제가 있어서 한두문제는 점수 땄죠.... 
중2 수학	"중2 수학 연립방정식 활용 작년학생수, 올해학생수 구하는 문제를 응용하여 수학을 좋아하는 학생, 싫어하는 학생으로 나눠서 문제를 만드려고 하는데 어떻게 만들어야 올바른 식이 될까요..?0 <작년> 수학 좋아하는 학생 수: x 수학... "
"고1수학 공부법, 문제집"	... 이제는 수학이라면 저도 모르게 자신감이 붙게 되더라고요~~예전에는 수학하면 토나올거같은느낌이였어요ㅋㅋㅋㅋㅋ 님도 힘내세요 \ㅋㅋㅋㅋㅋ 정말 하면 됩니다.ㅋㅋㅋㅋㅋㅋ쎈수학 좋아요~~쎈수학아니면 개념+유형 유형편추천해요~~
주요과목 중 수학이 제일 낮음	제가 이과라 과학은 그 나마 성적은 좋은데 수학이 안 좋아요… 그래도 과학처럼 수학도 좋아하고 재미있는데 왜 10점대가 나오는지 원…. ㅠㅠ 대학가면 악영향 주는 거 아닐까요.. 모의고사 결과도 8등급..인데 ㅠㅠㅠ 아직 고1인데도... 
중2 온라인 강의 수학어디가 좋아요??	전과목 안하고 수학만 중2 1학기꺼 할려는데 어디가 좋아요?? 그리고 제가 지금 수학을 되게 못하니까 좀 쉽게 하거나 기초부터;;; 해주는데 있으면 좀 알려주세요 그리구 아무꺼나 더 알아야될꺼ㅡㅡ;; 있으면 알려주세요 최대한... 
[내공] 수학 학원 어디가 좋아요?	"... 수학 학원을 다니려고 합니다... 단순히 내신을 위해서 다니는 학원이 아닌, 심화된 내용과 경시대회 정도의... 단순히 학원강사로 썩기 아까운분이시거든요~ 이분한테 연락해보세요~ 미친듯이 달려들어서 물어보는학생 최고로 좋아... "
초등수학 학습지 좋아요?	"... 초등수학 학습지에 관해서 질문 주셨군요 아이의 자기주도적 학습능력을... 밀크티는 수학, 영어를 수준별 학습으로 진행하고 있는데요 간단한... 초등수학 학습지에 관해서 답변 드렸는데 도움되셨으면 좋겠네요 밀크티 초등은... "
초등수학 학습지 좋아요?	"... 초등수학 학습지에 관해서 질문 주셨군요 일을 관두고 육아에 몰입하는... 밀크티는 수학, 영어를 수준별 학습으로 진행하고 있는데요 간단한... 초등수학 학습지에 관해서 답변드렸는데 도움되셨으면 좋겠네요 밀크티 초등은... "
영어교재와 수학교재	... 왕수학이 제일 나은것 같아요 저도 그거 써봤는데요 적절히 쉬운 문제도 있고 심화 학습도 있으면서 애들 재밌으라고 쉬어가기도 단원마다 있어요 PS.참고로.... 1년뒤면 중1되겠내요????? 그러면 천재교육의 체크체크 중학수학 좋아요 
제가 수학은 안좋아하고 과학은 좋아하	제가 수학은 안좋아하고 과학은 좋아하는데 수학 공부 많이 안해도 되는 과학관련 직업이나 학과 있을까요 생명과학이나 지구과학쪽은 수학을 딱히 사용하진 않습니다. 하지만 현재 대입체계에서는 문과든 이과든 수학을 버리면 절대... 
중3 수학문제집	... ㅎ 개념원리는 중학교껀 별로예요 해법 2000제 풀어보세요 문제유형이 엄청 다양해서좋아요 기본적인거 끝낫는데 개념원리하면 절대안되죠 문제많이 풀어야되요 2000제 싫으시면 해법필수학 수프로젝트 아니면 쎈수학 좋아요... 
수학ㅇ이 너무 좋아요	"수학ㅇ이 너무 좋아요 중딩때까지 수포자로 살고 수학 극혐했었는데 요즘 수학이 너무 재밌습니다ㅠㅠ 수학과 이런데 나오면 취업 잘되나요? 수학과로만는 보통 취업을 하지는 않고, 복수전공을 합니다. 예를들면 금융전공으로 가서... "
중2수학100점맞는법	... 그래도 기초는있는상태이고 수학이 좋아요 그전엔 문제집을 쉬운걸 풀었지만 지금은 쎈풀거거든요 c단계말고 b단계만 풀건데요 선생이 이번엔 좀 어렵게 낸다고 하는데 80점이라도 가능할까요? 쎈풀거임 하루에 25문제... 
수학 인강 어디가 좋아여?	중학교 수학 인강 어디가 좋아염.?? ^-^수학 정말 .. 힘들어서 혼자는 복습도 잘 안되고.. 예습은 말도 할거없지만..^^;헤헤... 반친구들은 절반이 인강 듣던데. 음... ebs 수박씨 이렇게 많이들 듣더라구염. 어디가 괜찮져?? 전 수박씨... 
"5학년2학기수학좀가르쳐주세요,,,"	... 포인트 왕수학 3. 아하 왕수학 4. 테크노 해법수학 좋아요... 백점맞는 수학도 좋고요 백점맞는 수학은 재밌있어요. 쉽고 전과목으로 다 있으니까 좋고... 그럼 열심히 푸세요. 모르는건 성생님한테 물어보고 열심히 하는 게 제일 좋으니까
안좋아요. 영어과외 수학과외 통해서 내신 올려볼려고... 	... 내신위주로 공부를 하고 있는데 아무래도 영어과외 수학과외 통해서 내신 올려볼려 해요. 도와주세요.  안녕하하세요 부산에서 수학과외 영어과외 진행중인 과외 선생님 입니다. 과목별로 전문 선생님과 맞춤학습으로... 
